"Parasite.species","host_record_lcdb_nhm","host_sp_no_subsp","host_genus_lcdb_nhm","best_host_name"
"Acanthocephalus sp.","Asellus hilgendorfi","Asellus hilgendorfi","Asellus","Asellus hilgendorfi"
"Acanthocephalus sp.","Gasterosteus aculeatus","Gasterosteus aculeatus","Gasterosteus","Gasterosteus aculeatus"
"Acanthocephalus sp.","Hucho perryi","Hucho perryi","Hucho","Parahucho perryi"
"Acanthocephalus sp.","Hypomesus nipponensis","Hypomesus nipponensis","Hypomesus","Hypomesus nipponensis"
"Acanthocephalus sp.","Oncorhynchus mykiss","Oncorhynchus mykiss","Oncorhynchus","Oncorhynchus mykiss"
"Acanthocephalus tumescens","Hyalella patagonica","Hyalella patagonica","Hyalella","Hyalella patagonica"
"Acanthocephalus tumescens","Diplomystes viedmensis","Diplomystes viedmensis","Diplomystes","Olivaichthys viedmensis"
"Acanthocephalus tumescens","Galaxias maculatus","Galaxias maculatus","Galaxias","Galaxias maculatus"
"Acanthocephalus tumescens","Oncorhynchus mykiss","Oncorhynchus mykiss","Oncorhynchus","Oncorhynchus mykiss"
"Acanthocephalus tumescens","Percichthys trucha","Percichthys trucha","Percichthys","Percichthys trucha"
"Acanthocephalus tumescens","Salvelinus fontinalis","Salvelinus fontinalis","Salvelinus","Salvelinus fontinalis"
"Acanthocirrus retrirostris","Balanus balanoides","Balanus balanoides","Balanus","Semibalanus balanoides"
"Acanthocirrus retrirostris","Arenaria interpres","Arenaria interpres","Arenaria","Arenaria interpres"
"Acanthocirrus retrirostris","Arenaria melanocephala","Arenaria melanocephala","Arenaria","Arenaria melanocephala"
"Acanthocirrus retrirostris","Calidris alpina","Calidris alpina","Calidris","Calidris alpina"
"Acanthogyrus (Acanthosentis) lizae","Halectinosoma herdmani","Halectinosoma herdmani","Halectinosoma","Halectinosoma herdmani"
"Acanthogyrus (Acanthosentis) lizae","Liza aurata","Liza aurata","Liza","Chelon auratus"
"Acanthosentis dattai","Mesocyclops leuckarti","Mesocyclops leuckarti","Mesocyclops","Mesocyclops leuckarti"
"Acanthosentis dattai","Pethia ticto","Pethia ticto","Pethia","Pethia ticto"
"Acanthosentis dattai","Puntius sophore","Puntius sophore","Puntius","Puntius sophore"
"Acuaria anthuris","Locusta migratoria","Locusta migratoria","Locusta","Locusta migratoria"
"Acuaria anthuris","Corvus brachyrhynchos","Corvus brachyrhynchos","Corvus","Corvus brachyrhynchos"
"Acuaria anthuris","Corvus corone","Corvus corone","Corvus","Corvus corone"
"Acuaria anthuris","Corvus frugilegus","Corvus frugilegus","Corvus","Corvus frugilegus"
"Acuaria anthuris","Garrulus glandarius","Garrulus glandarius","Garrulus","Garrulus glandarius"
"Acuaria anthuris","Pica pica","Pica pica","Pica","Pica pica"
"Acuaria depressa","Chorthippus longicornis","Chorthippus longicornis","Chorthippus","Pseudochorthippus parallelus"
"Acuaria depressa","Locusta migratoria","Locusta migratoria","Locusta","Locusta migratoria"
"Acuaria depressa","Melanoplus femurrubrum","Melanoplus femurrubrum","Melanoplus","Melanoplus femurrubrum"
"Acuaria depressa","Corvus brachyrhynchos","Corvus brachyrhynchos","Corvus","Corvus brachyrhynchos"
"Acuaria depressa","Corvus corone","Corvus corone","Corvus","Corvus corone"
"Acuaria depressa","Corvus frugilegus","Corvus frugilegus","Corvus","Corvus frugilegus"
"Acuaria depressa","Corvus ossifragus","Corvus ossifragus","Corvus","Corvus ossifragus"
"Acuaria gruveli","Tylotropidius patagiatus","Tylotropidius patagiatus","Tylotropidius","Tylotropidius patagiatus"
"Acuaria gruveli","Francolinus bicalcaratus","Francolinus bicalcaratus","Francolinus","Francolinus bicalcaratus"
"Acuaria gruveli","Pternistis swainsonii","Pternistis swainsonii","Pternistis","Francolinus swainsonii"
"Acuaria hamulosa","Aiolopus thalassinus","Aiolopus thalassinus","Aiolopus","Aiolopus thalassinus"
"Acuaria hamulosa","Atractomorpha ambigua","Atractomorpha ambigua","Atractomorpha","Atractomorpha sinensis"
"Acuaria hamulosa","Carpophilus dimidiatus","Carpophilus dimidiatus","Carpophilus","Carpophilus dimidiatus"
"Acuaria hamulosa","Conocephalus saltator","Conocephalus saltator","Conocephalus","Conocephalus saltator"
"Acuaria hamulosa","Dactylosternum abdominale","Dactylosternum abdominale","Dactylosternum","Dactylosternum abdominale"
"Acuaria hamulosa","Decticus verrucivorus","Decticus verrucivorus","Decticus","Decticus verrucivorus"
"Acuaria hamulosa","Euxestus sp.","Euxestus sp.","Euxestus","Euxestus sp."
"Acuaria hamulosa","Litargus balteatus","Litargus balteatus","Litargus","Litargus balteatus"
"Acuaria hamulosa","Melanoplus differentialis","Melanoplus differentialis","Melanoplus","Melanoplus differentialis"
"Acuaria hamulosa","Melanoplus femurrubrum","Melanoplus femurrubrum","Melanoplus","Melanoplus femurrubrum"
"Acuaria hamulosa","Oedaleus infernalis","Oedaleus infernalis","Oedaleus","Oedaleus infernalis"
"Acuaria hamulosa","Orchestia platensis","Orchestia platensis","Orchestia","Platorchestia platensis"
"Acuaria hamulosa","Oxya sinensis","Oxya sinensis","Oxya","Oxya sinensis"
"Acuaria hamulosa","Oxydema fusiforme","Oxydema fusiforme","Oxydema","Oxydema fusiforme"
"Acuaria hamulosa","Palorus ratzeburgi","Palorus ratzeburgi","Palorus","Palorus ratzeburgi"
"Acuaria hamulosa","Paroxya clavuliger","Paroxya clavuliger","Paroxya","Paroxya clavuligera"
"Acuaria hamulosa","Sitophilus oryzae","Sitophilus oryzae","Sitophilus","Sitophilus oryzae"
"Acuaria hamulosa","Tenebroides nana","Tenebroides nana","Tenebroides","Tenebroides nana"
"Acuaria hamulosa","Tetrix japonica","Tetrix japonica","Tetrix","Tetrix japonica"
"Acuaria hamulosa","Tribolium castaneum","Tribolium castaneum","Tribolium","Tribolium castaneum"
"Acuaria hamulosa","Typhaea stercorea","Typhaea stercorea","Typhaea","Typhaea stercorea"
"Acuaria hamulosa","Gallus gallus","Gallus gallus","Gallus","Gallus gallus"
"Acuaria hamulosa","Meleagris gallopavo","Meleagris gallopavo","Meleagris","Meleagris gallopavo"
"Acuaria hamulosa","Phasianus colchicus","Phasianus colchicus","Phasianus","Phasianus colchicus"
"Acuaria subula","Schistocerca gregaria","Schistocerca gregaria","Schistocerca","Schistocerca gregaria"
"Acuaria subula","Acrocephalus turdoides","Acrocephalus turdoides","Acrocephalus","Acrocephalus turdoides"
"Acuaria subula","Erithacus rubecula","Erithacus rubecula","Erithacus","Erithacus rubecula"
"Acuaria subula","Ficedula hypoleuca","Ficedula hypoleuca","Ficedula","Ficedula hypoleuca"
"Acuaria subula","Hippolais icterina","Hippolais icterina","Hippolais","Hippolais icterina"
"Acuaria subula","Lanius excubitor","Lanius excubitor","Lanius","Lanius excubitor"
"Acuaria subula","Lanius minor","Lanius minor","Lanius","Lanius minor"
"Acuaria subula","Luscinia svecica","Luscinia svecica","Luscinia","Luscinia svecica"
"Acuaria subula","Motacilla citreola","Motacilla citreola","Motacilla","Motacilla citreola"
"Acuaria subula","Oenanthe isabellina","Oenanthe isabellina","Oenanthe","Oenanthe isabellina"
"Acuaria subula","Oenanthe picata","Oenanthe picata","Oenanthe","Oenanthe picata"
"Acuaria subula","Passer domesticus","Passer domesticus","Passer","Passer domesticus"
"Acuaria subula","Passer montanus","Passer montanus","Passer","Passer montanus"
"Acuaria subula","Pica pica","Pica pica","Pica","Pica pica"
"Acuaria subula","Saxicola caprata","Saxicola caprata","Saxicola","Saxicola caprata"
"Acuaria subula","Sturnus vulgaris","Sturnus vulgaris","Sturnus","Sturnus vulgaris"
"Aelurostrongylus abstrusus","Achatina fulica","Achatina fulica","Achatina","Achatina fulica"
"Aelurostrongylus abstrusus","Agriolimax agrestis","Agriolimax agrestis","Agriolimax","Agriolimax agrestis"
"Aelurostrongylus abstrusus","Agriolimax columbianus","Agriolimax columbianus","Agriolimax","Agriolimax columbianus"
