"Parasite.species","host_record_lcdb_nhm","host_sp_no_subsp","host_genus_lcdb_nhm","best_host_name"
"Cephalochlamys namaquensis","Xenopus laevis poweri","Xenopus laevis","Xenopus","Xenopus laevis"
"Cephalochlamys namaquensis","Xenopus laevis sudanensis","Xenopus laevis","Xenopus","Xenopus laevis"
"Cephalochlamys namaquensis","Xenopus laevis victorianus","Xenopus laevis","Xenopus","Xenopus laevis"
"Cephalochlamys namaquensis","Xenopus sp.","Xenopus sp.","Xenopus","Xenopus sp."
"Chabertia ovina","Bison bison","Bison bison","Bison","Bison bison"
"Chabertia ovina","Bison bonasus","Bison bonasus","Bison","Bison bonasus"
"Chabertia ovina","Bos taurus","Bos taurus","Bos","Bos taurus"
"Chabertia ovina","Camelus dromedarius","Camelus dromedarius","Camelus","Camelus dromedarius"
"Chabertia ovina","Capra hircus","Capra hircus","Capra","Capra hircus"
"Chabertia ovina","Capra ibex","Capra ibex","Capra","Capra ibex"
"Chabertia ovina","Capreolus capreolus","Capreolus capreolus","Capreolus","Capreolus capreolus"
"Chabertia ovina","Capreolus capreolus capreolus","Capreolus capreolus","Capreolus","Capreolus capreolus"
"Chabertia ovina","Cervus dama","Cervus dama","Cervus","Cervus dama"
"Chabertia ovina","Cervus elaphus","Cervus elaphus","Cervus","Cervus elaphus"
"Chabertia ovina","Dama dama","Dama dama","Dama","Dama dama"
"Chabertia ovina","Gazella subgutturosa","Gazella subgutturosa","Gazella","Gazella subgutturosa"
"Chabertia ovina","Odocoileus hemionus","Odocoileus hemionus","Odocoileus","Odocoileus hemionus"
"Chabertia ovina","Odocoileus virginianus","Odocoileus virginianus","Odocoileus","Odocoileus virginianus"
"Chabertia ovina","Ovis ammon","Ovis ammon","Ovis","Ovis ammon"
"Chabertia ovina","Ovis canadensis","Ovis canadensis","Ovis","Ovis canadensis"
"Chabertia ovina","Ovis gmelini musimon","Ovis gmelini","Ovis","Ovis gmelini"
"Chabertia ovina","Ovis musimon","Ovis musimon","Ovis","Ovis aries"
"Chabertia ovina","Sus scrofa","Sus scrofa","Sus","Sus scrofa"
"Cheilospirura spinosa","Callipepla californica","Callipepla californica","Callipepla","Callipepla californica"
"Cheilospirura spinosa","Meleagris gallopavo","Meleagris gallopavo","Meleagris","Meleagris gallopavo"
"Choanotaenia infundibulum","Anas platyrhynchos domesticus","Anas platyrhynchos","Anas","Anas platyrhynchos"
"Choanotaenia infundibulum","Gallus gallus domesticus","Gallus gallus","Gallus","Gallus gallus"
"Choanotaenia infundibulum","Perdix perdix","Perdix perdix","Perdix","Perdix perdix"
"Choanotaenia infundibulum","Adesmia biseriata","Adesmia biseriata","Adesmia","Adesmia biseriata"
"Choanotaenia infundibulum","Alectoris chukar","Alectoris chukar","Alectoris","Alectoris chukar"
"Choanotaenia infundibulum","Alectoris graeca saxatilis","Alectoris graeca","Alectoris","Alectoris graeca"
"Choanotaenia infundibulum","Anas platyrhynchos","Anas platyrhynchos","Anas","Anas platyrhynchos"
"Choanotaenia infundibulum","Anthicus confucii","Anthicus confucii","Anthicus","Anthicus confucii"
"Choanotaenia infundibulum","Blaps lethifera","Blaps lethifera","Blaps","Blaps lethifera"
"Choanotaenia infundibulum","Columba livia","Columba livia","Columba","Columba livia"
"Choanotaenia infundibulum","Columba livia domestica","Columba livia","Columba","Columba livia"
"Choanotaenia infundibulum","Coturnix coturnix","Coturnix coturnix","Coturnix","Coturnix coturnix"
"Choanotaenia infundibulum","Coturnix coturnix japonicus","Coturnix coturnix","Coturnix","Coturnix coturnix"
"Choanotaenia infundibulum","Decticus verrucivorus","Decticus verrucivorus","Decticus","Decticus verrucivorus"
"Choanotaenia infundibulum","Gallus domesticus","Gallus domesticus","Gallus","Gallus domesticus"
"Choanotaenia infundibulum","Gonocephalum rusticum","Gonocephalum rusticum","Gonocephalum","Gonocephalum rusticum"
"Choanotaenia infundibulum","Gonocephalum setulosum","Gonocephalum setulosum","Gonocephalum","Gonocephalum setulosum"
"Choanotaenia infundibulum","Meleagris gallopavo domesticus","Meleagris gallopavo","Meleagris","Meleagris gallopavo"
"Choanotaenia infundibulum","Numida meleagris","Numida meleagris","Numida","Numida meleagris"
"Choanotaenia infundibulum","Opatroides vicinus","Opatroides vicinus","Opatroides","Opatroides vicinus"
"Choanotaenia infundibulum","Passer domesticus niloticus","Passer domesticus","Passer","Passer domesticus"
"Choanotaenia infundibulum","Pterostichus microcephalus","Pterostichus microcephalus","Pterostichus","Pterostichus microcephalus"
"Choanotaenia infundibulum","Tenebrio sp.","Tenebrio sp.","Tenebrio","Tenebrio sp."
"Choanotaenia infundibulum","Tenturia gigas","Tenturia gigas","Tenturia","Tentyria gigas"
"Cittotaenia pectinata","Citellus pygmaeus","Citellus pygmaeus","Citellus","Citellus pygmaeus"
"Cittotaenia denticulata","Lepus granatensis","Lepus granatensis","Lepus","Lepus granatensis"
"Cittotaenia denticulata","Oryctolagus cuniculus algiricus","Oryctolagus cuniculus","Oryctolagus","Oryctolagus cuniculus"
"Cladotaenia circi","Apodemus agrarius","Apodemus agrarius","Apodemus","Apodemus agrarius"
"Cladotaenia circi","Apodemus sylvaticus","Apodemus sylvaticus","Apodemus","Apodemus sylvaticus"
"Cladotaenia circi","Circus aeruginosus","Circus aeruginosus","Circus","Circus aeruginosus"
"Cladotaenia circi","Circus pygargus","Circus pygargus","Circus","Circus pygargus"
"Cladotaenia circi","Crocidura leucodon","Crocidura leucodon","Crocidura","Crocidura leucodon"
"Cladotaenia circi","Crocidura suaveolens","Crocidura suaveolens","Crocidura","Crocidura suaveolens"
"Cladotaenia circi","Lacerta agilis","Lacerta agilis","Lacerta","Lacerta agilis"
"Cladotaenia circi","Lacerta viridis","Lacerta viridis","Lacerta","Lacerta viridis"
"Cladotaenia circi","Microtus oeconomus","Microtus oeconomus","Microtus","Microtus oeconomus"
"Cladotaenia circi","Neomys anomalus","Neomys anomalus","Neomys","Neomys anomalus"
"Cladotaenia circi","Ondatra zibethica","Ondatra zibethica","Ondatra","Ondatra zibethica"
"Cladotaenia circi","Oryzomys palustris","Oryzomys palustris","Oryzomys","Oryzomys palustris"
"Cladotaenia circi","Sorex araneus","Sorex araneus","Sorex","Sorex araneus"
"Cladotaenia circi","Sorex minutus","Sorex minutus","Sorex","Sorex minutus"
"Cladotaenia circi","Spermophilus tridecemlineatus","Spermophilus tridecemlineatus","Spermophilus","Ictidomys tridecemlineatus"
"Cladotaenia globifera","Accipiter badius","Accipiter badius","Accipiter","Accipiter badius"
"Cladotaenia globifera","Aesalon columbarius","Aesalon columbarius","Aesalon","Falco columbarius"
"Cladotaenia globifera","Aquila pomarina","Aquila pomarina","Aquila","Aquila pomarina"
"Cladotaenia globifera","Aquila rapax","Aquila rapax","Aquila","Aquila rapax"
"Cladotaenia globifera","Asio otus","Asio otus","Asio","Asio otus"
"Cladotaenia globifera","Bubo bubo","Bubo bubo","Bubo","Bubo bubo"
"Cladotaenia globifera","Buteo lagopus","Buteo lagopus","Buteo","Buteo lagopus"
"Cladotaenia globifera","Buteo rufinus","Buteo rufinus","Buteo","Buteo rufinus"
"Cladotaenia globifera","Cerchneis naumanni","Cerchneis naumanni","Cerchneis","Cerchneis naumanni"
"Cladotaenia globifera","Cerchneis tinnunculus","Cerchneis tinnunculus","Cerchneis","Cerchneis tinnunculus"
"Cladotaenia globifera","Circus macrourus","Circus macrourus","Circus","Circus macrourus"
"Cladotaenia globifera","Circus rufus","Circus rufus","Circus","Circus rufus"
"Cladotaenia globifera","Clethrionomys gapperi","Clethrionomys gapperi","Clethrionomys","Myodes gapperi"
"Cladotaenia globifera","Clethrionomys glareolus","Clethrionomys glareolus","Clethrionomys","Myodes glareolus"
"Cladotaenia globifera","Clethrionomys rufocanus","Clethrionomys rufocanus","Clethrionomys","Myodes rufocanus"
"Cladotaenia globifera","Crocidura russula","Crocidura russula","Crocidura","Crocidura russula"
"Cladotaenia globifera","Erinaceus europaeus","Erinaceus europaeus","Erinaceus","Erinaceus europaeus"
"Cladotaenia globifera","Falco rufus","Falco rufus","Falco","Falco rufus"
"Cladotaenia globifera","Falco subbuteo","Falco subbuteo","Falco","Falco subbuteo"
"Cladotaenia globifera","Hieraaetus pennatus","Hieraaetus pennatus","Hieraaetus","Hieraaetus pennatus"
"Cladotaenia globifera","Ixobrychus minutus","Ixobrychus minutus","Ixobrychus","Ixobrychus minutus"
"Cladotaenia globifera","Microtus oeconomus","Microtus oeconomus","Microtus","Microtus oeconomus"
"Cladotaenia globifera","Microtus pennsylvanicus","Microtus pennsylvanicus","Microtus","Microtus pennsylvanicus"
"Cladotaenia globifera","Microtus socialis","Microtus socialis","Microtus","Microtus socialis"
"Cladotaenia globifera","Milvus korschun","Milvus korschun","Milvus","Milvus korschun"
"Cladotaenia globifera","Myopus schisticolor","Myopus schisticolor","Myopus","Myopus schisticolor"
"Cladotaenia globifera","Talpa europaea","Talpa europaea","Talpa","Talpa europaea"
"Cloacotaenia megalops","Aix sponsa","Aix sponsa","Aix","Aix sponsa"
"Cloacotaenia megalops","Alopochen aegyptiacus","Alopochen aegyptiacus","Alopochen","Alopochen aegyptiaca"
"Cloacotaenia megalops","Anas bahamensis","Anas bahamensis","Anas","Anas bahamensis"
"Cloacotaenia megalops","Anas boschas","Anas boschas","Anas","Anas boschas"
"Cloacotaenia megalops","Anas castanea","Anas castanea","Anas","Anas castanea"
"Cloacotaenia megalops","Anas cyanoptera","Anas cyanoptera","Anas","Anas cyanoptera"
"Cloacotaenia megalops","Anas erythrorhyncha","Anas erythrorhyncha","Anas","Anas erythrorhyncha"
"Cloacotaenia megalops","Anas fulvigula fulvigula","Anas fulvigula","Anas","Anas fulvigula"
"Cloacotaenia megalops","Anas fulvigula maculosa","Anas fulvigula","Anas","Anas fulvigula"
"Cloacotaenia megalops","Anas georgica","Anas georgica","Anas","Anas georgica"
"Cloacotaenia megalops","Anas penelope","Anas penelope","Anas","Anas penelope"
"Cloacotaenia megalops","Anas platalea","Anas platalea","Anas","Anas platalea"
"Cloacotaenia megalops","Anas platyrhynchos domesticus","Anas platyrhynchos","Anas","Anas platyrhynchos"
"Cloacotaenia megalops","Anas poecilorhyncha zonorhyncha","Anas poecilorhyncha","Anas","Anas poecilorhyncha"
"Cloacotaenia megalops","Anas querquedula","Anas querquedula","Anas","Anas querquedula"
"Cloacotaenia megalops","Anas rubripes","Anas rubripes","Anas","Anas rubripes"
"Cloacotaenia megalops","Anas sibilatrix","Anas sibilatrix","Anas","Anas sibilatrix"
"Cloacotaenia megalops","Anas spinicauda","Anas spinicauda","Anas","Anas georgica"
"Cloacotaenia megalops","Anas strepera","Anas strepera","Anas","Anas strepera"
"Cloacotaenia megalops","Anas superciliosa","Anas superciliosa","Anas","Anas superciliosa"
"Cloacotaenia megalops","Anas versicolor","Anas versicolor","Anas","Anas versicolor"
"Cloacotaenia megalops","Anser albifrons","Anser albifrons","Anser","Anser albifrons"
"Cloacotaenia megalops","Anser anser","Anser anser","Anser","Anser anser"
"Cloacotaenia megalops","Anser anser domesticus","Anser anser","Anser","Anser anser"
"Cloacotaenia megalops","Anser brachyrhynchos","Anser brachyrhynchos","Anser","Anser brachyrhynchos"
"Cloacotaenia megalops","Anser caerulescens","Anser caerulescens","Anser","Chen caerulescens"
"Cloacotaenia megalops","Anser cygnoides","Anser cygnoides","Anser","Anser cygnoides"
"Cloacotaenia megalops","Anseranas semipalmata","Anseranas semipalmata","Anseranas","Anseranas semipalmata"
"Cloacotaenia megalops","Aythya sp.","Aythya sp.","Aythya","Aythya sp."
"Cloacotaenia megalops","Aythya affinis","Aythya affinis","Aythya","Aythya affinis"
"Cloacotaenia megalops","Aythya africana","Aythya africana","Aythya","Aythya americana"
"Cloacotaenia megalops","Aythya collaris","Aythya collaris","Aythya","Aythya collaris"
"Cloacotaenia megalops","Aythya fuligula","Aythya fuligula","Aythya","Aythya fuligula"
"Cloacotaenia megalops","Aythya marila","Aythya marila","Aythya","Aythya marila"
"Cloacotaenia megalops","Aythya valisineria","Aythya valisineria","Aythya","Aythya valisineria"
"Cloacotaenia megalops","Branta canadensis","Branta canadensis","Branta","Branta canadensis"
"Cloacotaenia megalops","Cairina moschata","Cairina moschata","Cairina","Cairina moschata"
"Cloacotaenia megalops","Casarca ferruginea","Casarca ferruginea","Casarca","Casarca ferruginea"
"Cloacotaenia megalops","Chen caerulescens","Chen caerulescens","Chen","Chen caerulescens"
"Cloacotaenia megalops","Clangula hyemalis","Clangula hyemalis","Clangula","Clangula hyemalis"
"Cloacotaenia megalops","Coscoroba coscoroba","Coscoroba coscoroba","Coscoroba","Coscoroba coscoroba"
"Cloacotaenia megalops","Cygnus atratus","Cygnus atratus","Cygnus","Cygnus atratus"
"Cloacotaenia megalops","Cygnus cygnus","Cygnus cygnus","Cygnus","Cygnus cygnus"
"Cloacotaenia megalops","Cygnus melanocoryphus","Cygnus melanocoryphus","Cygnus","Cygnus melancoryphus"
"Cloacotaenia megalops","Cygnus olor","Cygnus olor","Cygnus","Cygnus olor"
"Cloacotaenia megalops","Dendrocygna autumnalis","Dendrocygna autumnalis","Dendrocygna","Dendrocygna autumnalis"
"Cloacotaenia megalops","Dendrocygna fulva","Dendrocygna fulva","Dendrocygna","Dendrocygna fulva"
"Cloacotaenia megalops","Eucypris sp.","Eucypris sp.","Eucypris","Eucypris sp."
"Cloacotaenia megalops","Eucypris inflata","Eucypris inflata","Eucypris","Eucypris inflata"
"Cloacotaenia megalops","Eucypris sp.","Eucypris sp.","Eucypris","Eucypris sp."
"Cloacotaenia megalops","Fulica americana","Fulica americana","Fulica","Fulica americana"
"Cloacotaenia megalops","Fulica atra","Fulica atra","Fulica","Fulica atra"
"Cloacotaenia megalops","Gallus gallus domesticus","Gallus gallus","Gallus","Gallus gallus"
"Cloacotaenia megalops","Heterocypris incongruens","Heterocypris incongruens","Heterocypris","Heterocypris incongruens"
"Cloacotaenia megalops","Limosa limosa","Limosa limosa","Limosa","Limosa limosa"
"Cloacotaenia megalops","Lophonetta speculatrioides","Lophonetta speculatrioides","Lophonetta","Lophonetta specularioides"
"Cloacotaenia megalops","Melanitta fusca","Melanitta fusca","Melanitta","Melanitta fusca"
"Cloacotaenia megalops","Mergus merganser","Mergus merganser","Mergus","Mergus merganser"
"Cloacotaenia megalops","Metopiana peposaca","Metopiana peposaca","Metopiana","Metopiana peposaca"
"Cloacotaenia megalops","Netta erythrophthalma","Netta erythrophthalma","Netta","Netta erythrophthalma"
"Cloacotaenia megalops","Netta rufina","Netta rufina","Netta","Netta rufina"
"Cloacotaenia megalops","Oxyura leucocephala","Oxyura leucocephala","Oxyura","Oxyura leucocephala"
"Cloacotaenia megalops","Phoenicopterus ruber","Phoenicopterus ruber","Phoenicopterus","Phoenicopterus ruber"
"Cloacotaenia megalops","Podiceps cristatus","Podiceps cristatus","Podiceps","Podiceps cristatus"
"Cloacotaenia megalops","Querquedula cyanoptera","Querquedula cyanoptera","Querquedula","Querquedula cyanoptera"
"Cloacotaenia megalops","Querquedula discors","Querquedula discors","Querquedula","Querquedula discors"
"Cloacotaenia megalops","Spatula clypeata","Spatula clypeata","Spatula","Spatula clypeata"
"Cloacotaenia megalops","Tadorna ferruginea","Tadorna ferruginea","Tadorna","Tadorna ferruginea"
"Cloacotaenia megalops","Tadorna tadorna","Tadorna tadorna","Tadorna","Tadorna tadorna"
"Confluaria furcifera","Podilymbus podiceps","Podilymbus podiceps","Podilymbus","Podilymbus podiceps"
"Confluaria pseudofurcifera","Podiceps cristatus","Podiceps cristatus","Podiceps","Podiceps cristatus"
"Confluaria podicipina","Aechmophorus occidentalis","Aechmophorus occidentalis","Aechmophorus","Aechmophorus occidentalis"
"Confluaria podicipina","Fulica atra","Fulica atra","Fulica","Fulica atra"
"Confluaria podicipina","Gallinula chloropus","Gallinula chloropus","Gallinula","Gallinula chloropus"
"Confluaria podicipina","Podiceps pygmaeus","Podiceps pygmaeus","Podiceps","Podiceps pygmaeus"
"Confluaria podicipina","Podilymbus podiceps","Podilymbus podiceps","Podilymbus","Podilymbus podiceps"
"Contracaecum microcephalum","Abramis brama","Abramis brama","Abramis","Abramis brama"
"Contracaecum microcephalum","Abramis brama orientalis","Abramis brama","Abramis","Abramis brama"
"Contracaecum microcephalum","Alburnus alburnus belvica","Alburnus alburnus","Alburnus","Alburnus alburnus"
"Contracaecum microcephalum","Anhinga anhinga","Anhinga anhinga","Anhinga","Anhinga anhinga"
"Contracaecum microcephalum","Anhinga melanogaster","Anhinga melanogaster","Anhinga","Anhinga melanogaster"
"Contracaecum microcephalum","Aquila heliaca","Aquila heliaca","Aquila","Aquila heliaca"
"Contracaecum microcephalum","Ardea alba","Ardea alba","Ardea","Ardea alba"
"Contracaecum microcephalum","Ardea cinerea","Ardea cinerea","Ardea","Ardea cinerea"
"Contracaecum microcephalum","Ardea herodias","Ardea herodias","Ardea","Ardea herodias"
"Contracaecum microcephalum","Ardea nycticorax","Ardea nycticorax","Ardea","Ardea nycticorax"
"Contracaecum microcephalum","Ardea purpurea","Ardea purpurea","Ardea","Ardea purpurea"
"Contracaecum microcephalum","Ardeola grayi","Ardeola grayi","Ardeola","Ardeola grayi"
"Contracaecum microcephalum","Aspius aspius taeniatus","Aspius aspius","Aspius","Leuciscus aspius"
"Contracaecum microcephalum","Botaurus lentiginosus","Botaurus lentiginosus","Botaurus","Botaurus lentiginosus"
"Contracaecum microcephalum","Botaurus stellaris","Botaurus stellaris","Botaurus","Botaurus stellaris"
"Contracaecum microcephalum","Butorides striatus","Butorides striatus","Butorides","Butorides striata"
"Contracaecum microcephalum","Butorides virescens","Butorides virescens","Butorides","Butorides virescens"
"Contracaecum microcephalum","Casmerodius albus egretta","Casmerodius albus","Casmerodius","Ardea alba"
"Contracaecum microcephalum","Cyprinus carpio","Cyprinus carpio","Cyprinus","Cyprinus carpio"
"Contracaecum microcephalum","Egretta alba","Egretta alba","Egretta","Ardea alba"
"Contracaecum microcephalum","Egretta caerulea","Egretta caerulea","Egretta","Egretta caerulea"
"Contracaecum microcephalum","Egretta garzetta","Egretta garzetta","Egretta","Egretta garzetta"
"Contracaecum microcephalum","Egretta thula","Egretta thula","Egretta","Egretta thula"
"Contracaecum microcephalum","Egretta tricolor","Egretta tricolor","Egretta","Egretta tricolor"
"Contracaecum microcephalum","Haliaeetus leucocephalus","Haliaeetus leucocephalus","Haliaeetus","Haliaeetus leucocephalus"
"Contracaecum microcephalum","Ixobrychus minutus","Ixobrychus minutus","Ixobrychus","Ixobrychus minutus"
"Contracaecum microcephalum","Leuciscus cephalus albus","Leuciscus cephalus","Leuciscus","Squalius cephalus"
"Contracaecum microcephalum","Mergus merganser","Mergus merganser","Mergus","Mergus merganser"
"Contracaecum microcephalum","Milvus korschun","Milvus korschun","Milvus","Milvus korschun"
"Contracaecum microcephalum","Mugil soiuy","Mugil soiuy","Mugil","Planiliza haematocheila"
"Contracaecum microcephalum","Nycticorax europeus","Nycticorax europeus","Nycticorax","Nycticorax europoeus"
"Contracaecum microcephalum","Nycticorax nycticorax","Nycticorax nycticorax","Nycticorax","Nycticorax nycticorax"
"Contracaecum microcephalum","Nycticorax nycticorax nycticorax","Nycticorax nycticorax","Nycticorax","Nycticorax nycticorax"
"Contracaecum microcephalum","Pelecanus crispus","Pelecanus crispus","Pelecanus","Pelecanus crispus"
"Contracaecum microcephalum","Pelecanus erythrorhynchos","Pelecanus erythrorhynchos","Pelecanus","Pelecanus erythrorhynchos"
"Contracaecum microcephalum","Pelecanus occidentalis","Pelecanus occidentalis","Pelecanus","Pelecanus occidentalis"
"Contracaecum microcephalum","Pelecanus onocrotalus","Pelecanus onocrotalus","Pelecanus","Pelecanus onocrotalus"
"Contracaecum microcephalum","Perca fluviatilis","Perca fluviatilis","Perca","Perca fluviatilis"
"Contracaecum microcephalum","Phalacrocorax africanus","Phalacrocorax africanus","Phalacrocorax","Microcarbo africanus"
"Contracaecum microcephalum","Phalacrocorax carbo","Phalacrocorax carbo","Phalacrocorax","Phalacrocorax carbo"
"Contracaecum microcephalum","Phalacrocorax filamentosus","Phalacrocorax filamentosus","Phalacrocorax","Phalacrocorax filamentosus"
"Contracaecum microcephalum","Phalacrocorax pelagicus","Phalacrocorax pelagicus","Phalacrocorax","Phalacrocorax pelagicus"
"Contracaecum microcephalum","Phalacrocorax pygmaeus","Phalacrocorax pygmaeus","Phalacrocorax","Phalacrocorax pygmaeus"
"Contracaecum microcephalum","Podiceps auritus","Podiceps auritus","Podiceps","Podiceps auritus"
"Contracaecum microcephalum","Podiceps cristatus","Podiceps cristatus","Podiceps","Podiceps cristatus"
"Contracaecum microcephalum","Podiceps grisegena","Podiceps grisegena","Podiceps","Podiceps grisegena"
"Contracaecum microcephalum","Rutilus rubilio prespensis","Rutilus rubilio","Rutilus","Sarmarutilus rubilio"
"Contracaecum microcephalum","Rutilus rutilus caspicus","Rutilus rutilus","Rutilus","Rutilus rutilus"
"Contracaecum micropapillatum","Ardea purpurea","Ardea purpurea","Ardea","Ardea purpurea"
"Contracaecum micropapillatum","Cichlasoma urophthalmus","Cichlasoma urophthalmus","Cichlasoma","Mayaheros urophthalmus"
"Contracaecum micropapillatum","Egretta alba","Egretta alba","Egretta","Ardea alba"
"Contracaecum micropapillatum","Gammarus lacustris","Gammarus lacustris","Gammarus","Gammarus lacustris"
"Contracaecum micropapillatum","Mergus squamatus","Mergus squamatus","Mergus","Mergus squamatus"
"Contracaecum micropapillatum","Nyctanassa violacea","Nyctanassa violacea","Nyctanassa","Nyctanassa violacea"
"Contracaecum micropapillatum","Pelecanus onocrotalus","Pelecanus onocrotalus","Pelecanus","Pelecanus onocrotalus"
"Contracaecum micropapillatum","Phalacrocorax sp.","Phalacrocorax sp.","Phalacrocorax","Phalacrocorax sp."
"Contracaecum micropapillatum","Phalacrocorax carbo","Phalacrocorax carbo","Phalacrocorax","Phalacrocorax carbo"
"Contracaecum micropapillatum","Phalacrocorax olivaceus","Phalacrocorax olivaceus","Phalacrocorax","Phalacrocorax brasilianus"
"Contracaecum micropapillatum","Phalacrocorax pygmaeus","Phalacrocorax pygmaeus","Phalacrocorax","Phalacrocorax pygmaeus"
"Contracaecum micropapillatum","Podiceps ruficollis","Podiceps ruficollis","Podiceps","Tachybaptus ruficollis"
"Contracaecum micropapillatum","Stercorarius pomarinus","Stercorarius pomarinus","Stercorarius","Stercorarius pomarinus"
"Contracaecum micropapillatum","Tachybaptus ruficollis","Tachybaptus ruficollis","Tachybaptus","Tachybaptus ruficollis"
"Contracaecum multipapillatum","Ajaia ajaja","Ajaia ajaja","Ajaia","Platalea ajaja"
"Contracaecum multipapillatum","Ardea cocoi","Ardea cocoi","Ardea","Ardea cocoi"
"Contracaecum multipapillatum","Arius seemani","Arius seemani","Arius","Arius seemani"
"Contracaecum multipapillatum","Casmerodius albus","Casmerodius albus","Casmerodius","Ardea alba"
"Contracaecum multipapillatum","Cichlasoma istlanum","Cichlasoma istlanum","Cichlasoma","Cichlasoma istlanum"
"Contracaecum multipapillatum","Cichlasoma synspilum","Cichlasoma synspilum","Cichlasoma","Vieja melanura"
"Contracaecum multipapillatum","Cochlearis cochlearius cochlearius","Cochlearis cochlearius","Cochlearis","Cochlearius cochlearius"
"Contracaecum multipapillatum","Cyprinus carpio communis","Cyprinus carpio","Cyprinus","Cyprinus carpio"
"Contracaecum multipapillatum","Cyprinus carpio specularis","Cyprinus carpio","Cyprinus","Cyprinus carpio"
"Contracaecum multipapillatum","Dormitator latifrons","Dormitator latifrons","Dormitator","Dormitator latifrons"
"Contracaecum multipapillatum","Egretta alba","Egretta alba","Egretta","Ardea alba"
"Contracaecum multipapillatum","Egretta caerulea","Egretta caerulea","Egretta","Egretta caerulea"
"Contracaecum multipapillatum","Egretta rufescens","Egretta rufescens","Egretta","Egretta rufescens"
"Contracaecum multipapillatum","Egretta thula","Egretta thula","Egretta","Egretta thula"
"Contracaecum multipapillatum","Falco peregrinus","Falco peregrinus","Falco","Falco peregrinus"
"Contracaecum multipapillatum","Grus americana","Grus americana","Grus","Grus americana"
"Contracaecum multipapillatum","Haliaeetus leucocephalus","Haliaeetus leucocephalus","Haliaeetus","Haliaeetus leucocephalus"
"Contracaecum multipapillatum","Istlarius balsanus","Istlarius balsanus","Istlarius","Ictalurus balsanus"
"Contracaecum multipapillatum","Nycticorax nycticorax","Nycticorax nycticorax","Nycticorax","Nycticorax nycticorax"
"Contracaecum multipapillatum","Nycticorax nycticorax hoactli","Nycticorax nycticorax","Nycticorax","Nycticorax nycticorax"
"Contracaecum multipapillatum","Oreochromis aureus","Oreochromis aureus","Oreochromis","Oreochromis aureus"
"Contracaecum multipapillatum","Oreochromis niloticus","Oreochromis niloticus","Oreochromis","Oreochromis niloticus"
"Contracaecum multipapillatum","Pandion haliaetus","Pandion haliaetus","Pandion","Pandion haliaetus"
"Contracaecum multipapillatum","Pelecanus crispus","Pelecanus crispus","Pelecanus","Pelecanus crispus"
"Contracaecum multipapillatum","Petenia splendida","Petenia splendida","Petenia","Petenia splendida"
"Contracaecum multipapillatum","Phalacrocorax olivaceus","Phalacrocorax olivaceus","Phalacrocorax","Phalacrocorax brasilianus"
"Contracaecum ogmorhini","Arctocephalus australis","Arctocephalus australis","Arctocephalus","Arctocephalus australis"
"Contracaecum ogmorhini","Arctocephalus gazella","Arctocephalus gazella","Arctocephalus","Arctocephalus gazella"
"Contracaecum ogmorhini","Arctocephalus pusillus doriferus","Arctocephalus pusillus","Arctocephalus","Arctocephalus pusillus"
"Contracaecum ogmorhini","Arctocephalus pusillus pusillus","Arctocephalus pusillus","Arctocephalus","Arctocephalus pusillus"
"Contracaecum ogmorhini","Arctocephalus tropicalis","Arctocephalus tropicalis","Arctocephalus","Arctocephalus tropicalis"
"Contracaecum ogmorhini","Eumetopias jubatus","Eumetopias jubatus","Eumetopias","Eumetopias jubatus"
"Contracaecum ogmorhini","Mirounga leonina","Mirounga leonina","Mirounga","Mirounga leonina"
"Contracaecum ogmorhini","Otaria flavescens","Otaria flavescens","Otaria","Otaria flavescens"
"Contracaecum ogmorhini","Zalophus californianus","Zalophus californianus","Zalophus","Zalophus californianus"
"Contracaecum osculatum","Acartia sp.","Acartia sp.","Acartia","Acartia sp."
"Contracaecum osculatum","Acartia tonsa","Acartia tonsa","Acartia","Acartia tonsa"
"Contracaecum osculatum","Aptenodytes forsteri","Aptenodytes forsteri","Aptenodytes","Aptenodytes forsteri"
"Contracaecum osculatum","Aptocyclus ventricosus","Aptocyclus ventricosus","Aptocyclus","Aptocyclus ventricosus"
"Contracaecum osculatum","Balanus sp.","Balanus sp.","Balanus","Balanus sp."
"Contracaecum osculatum","Boreogadus saida","Boreogadus saida","Boreogadus","Boreogadus saida"
"Contracaecum osculatum","Brama japonica","Brama japonica","Brama","Brama japonica"
"Contracaecum osculatum","Callorhinus ursinus","Callorhinus ursinus","Callorhinus","Callorhinus ursinus"
"Contracaecum osculatum","Centropages hamatus","Centropages hamatus","Centropages","Centropages hamatus"
"Contracaecum osculatum","Chionodraco myersi","Chionodraco myersi","Chionodraco","Chionodraco myersi"
"Contracaecum osculatum","Clupea harengus","Clupea harengus","Clupea","Clupea harengus"
"Contracaecum osculatum","Comephorus baicalensis","Comephorus baicalensis","Comephorus","Comephorus baicalensis"
"Contracaecum osculatum","Comephorus dybowski","Comephorus dybowski","Comephorus","Comephorus dybowskii"
"Contracaecum osculatum","Coregonus autumnalis migratorius","Coregonus autumnalis","Coregonus","Coregonus autumnalis"
"Contracaecum osculatum","Cottocomephorus grewingki","Cottocomephorus grewingki","Cottocomephorus","Cottocomephorus grewingkii"
"Contracaecum osculatum","Cryodraco antarcticus","Cryodraco antarcticus","Cryodraco","Cryodraco antarcticus"
