"Parasite.species","n_lcdb","n_pubmed_spname","n_pubmed_spname_group"
"Libyostrongylus douglassii",3,20,17
"Liga facile",2,0,0
"Ligula intestinalis",28,98,85
"Lineolepis scutigera",10,1,1
"Lueheia inscripta",3,0,0
"Macracanthorhynchus catulinus",10,3,2
"Macracanthorhynchus hirudinaceous",4,0,0
"Macracanthorhynchus ingens",7,18,14
"Mastophorus muris",8,30,28
"Mathevolepis skrjabini",2,0,0
"Mathevotaenia deserti",1,0,0
"Mathevotaenia symmetrica",3,1,1
"Maupasina weissi",2,0,0
"Mediorhynchus centurorum",2,2,2
"Mediorhynchus grandis",3,1,0
"Megalobatrachonema terdentatum",2,4,4
"Megathylacoides giganteum",3,2,2
"Mesidionema praecomasculatis",1,0,0
"Mesocestoides corti/variabilis/vogae",12,0,0
"Mesocestoides lineatus/litteratus",9,2,2
"Metacanthocephalus johnstoni",4,0,0
"Metaleptus rabuka",3,0,0
"Metastrongylus apri",11,49,27
"Metastrongylus pudendotectus",4,12,8
"Metastrongylus salmi",4,17,10
"Metroliasthes lucida",2,4,2
"Microcephaloides variabilis",3,0,0
"Micropleura indica",2,0,0
"Microsomacanthus albertensis",2,0,0
"Microsomacanthus compressa",10,0,0
"Microsomacanthus diorchis",1,0,0
"Microsomacanthus ductilis",5,0,0
"Microsomacanthus hopkinsi",10,0,0
"Microsomacanthus microskrjabini",2,0,0
"Microsomacanthus paracompressa",8,1,1
"Microsomacanthus paramicrosoma",6,2,2
"Microsomacanthus paraparvula",2,3,3
"Microsomacanthus pusilla",2,0,0
"Microsomacanthus spinocirrosa",3,0,0
"Microsomacanthus spiralibursata",5,0,0
"Microsomacanthus trombidacantha",1,0,0
"Microsomacanthus tuvensis",4,0,0
"Microtetrameres centuri",2,1,1
"Microtetrameres corax",2,0,0
"Microtetrameres helix",2,0,0
"Microtetrameres inermis",2,0,0
"Molineus barbatus",3,7,7
"Molluscotaenia crassiscolex",6,2,2
"Molluscotaenia estavarensis",1,0,0
"Moniezia benedeni",12,39,28
"Moniezia expansa",22,175,126
"Moniliformis clarki",9,12,10
"Moniliformis moniliformis",14,87,69
"Monobothrium hunteri",3,0,0
"Monobothrium ingens",4,0,0
"Monobothrium ulmeri",3,1,1
"Monoecocestus sigmodontis",1,0,0
"Monoecocestus sp.",4,3,3
"Mosgovoyia pectinata",12,12,11
"Muellerius capillaris",12,105,76
"Multitesticulata filamentosa",3,0,0
"Muspicea borreli",2,0,0
"Nematodiroides zembrae",1,5,5
"Nematodirus abnormalis",4,4,4
"Nematodirus battus",6,129,129
"Nematodirus filicollis",8,41,41
