"Host","Parasite","ParasiteFull"
"Cervus axis","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Cervus dama","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Cervus elaphus","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Cervus nippon","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Chironitis hungaricus","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Chironitis sp.","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Copris acutidens","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Copris hispanus","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Copris lunaris","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Copris ochus","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Crocidura suaveolens","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Cyphogenia gibba","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Didelphis mesamericana","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Equus asinus","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Equus caballus","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Equus hemionus","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Gazella subgutturosa","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Geotrupes impressus","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Gryllus bimaculatus","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Gymnopleurus aciculatus","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Gymnopleurus mopsus","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Homo sapiens","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Hystrix ","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Hystrix leucura","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Lepus capensis","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Letrus pygmaeus","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Letrus rosmarus","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Liatongus phanaeoides","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Macaca fuscata","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Macaca fuscata fuscata","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Myocastor coypus","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Odocoileus virginianus","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Oniticellus fulvus","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Oniticellus pallens","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Oniticellus pallipes","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Onitis humerosus","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Onthophagus amyntas","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Onthophagus bivertex minokuchianus","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Onthophagus catta","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Onthophagus deflexicollis","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Onthophagus fracticornis","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Onthophagus gibbulus","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Onthophagus koshantschikovi","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Onthophagus lemur","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Onthophagus leucostigma","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Onthophagus nuchicornis","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Onthophagus pugargus","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Onthophagus quadridentatus","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Onthophagus ruficapillis","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Onthophagus similis","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Onthophagus speculifer","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Onthophagus tracticornis","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Onthophagus verticicornis","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Oryctes nasicornis","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Oryctolagus cuniculus","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Ovis ammon","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Ovis aries","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Ovis musimon","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Philantomba maxwelli","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Phodomalo fausti","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Pisterotarsa gigantea","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Rattus ","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Rattus norvegicus","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Scarabaeus sacer","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Sciurus niger shermani","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Semenoviana tamerlana","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Sinapsis tmolis","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Sisyphus schaefferi","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Sus scrofa","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Sus scrofa domestica","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
