"Parasite.species","Host.species","best_host_name"
"Acanthocephalus lucii","Acipenser ruthenus","Acipenser ruthenus"
"Acanthocephalus lucii","Alcedo atthis","Alcedo atthis"
"Acanthocephalus lucii","Anas querquedula","Anas querquedula"
"Acanthocephalus lucii","Anguilla anguilla","Anguilla anguilla"
"Acanthocephalus lucii","Asellus aquaticus","Asellus aquaticus"
"Acanthocephalus lucii","Aspius sp.","Aspius sp."
"Acanthocephalus lucii","Aspius aspius","Leuciscus aspius"
"Acanthocephalus lucii","Barbatula barbatulus","Barbatula barbatula"
"Acanthocephalus lucii","Barbus barbus","Barbus barbus"
"Acanthocephalus lucii","Barbus meridionalis petenyi","Barbus meridionalis"
"Acanthocephalus lucii","Benthophilus stellatus","Benthophilus stellatus"
"Acanthocephalus lucii","Blicca bjoerkna","Blicca bjoerkna"
"Acanthocephalus lucii","Carassius carassius","Carassius carassius"
"Acanthocephalus lucii","Coregonus sp.","Coregonus sp."
"Acanthocephalus lucii","Coregonus lavaretus","Coregonus lavaretus"
"Acanthocephalus lucii","Coregonus lavaretus lavaretus","Coregonus lavaretus"
"Acanthocephalus lucii","Cottus gobio","Cottus gobio"
"Acanthocephalus lucii","Cyprinus carpio","Cyprinus carpio"
"Acanthocephalus lucii","Delichon urbica","Delichon urbicum"
"Acanthocephalus lucii","Dikerogammarus haematobaphes","Dicerogammarus haematobaphes"
"Acanthocephalus lucii","Dikerogammarus haemobaphes","Dikerogammarus haemobaphes"
"Acanthocephalus lucii","Dikerogammarus villosus","Dikerogammarus villosus"
"Acanthocephalus lucii","Esox lucius","Esox lucius"
"Acanthocephalus lucii","Gadus morhua","Gadus morhua"
"Acanthocephalus lucii","Gammarus balcanicus","Gammarus balcanicus"
"Acanthocephalus lucii","Gammarus lacustris","Gammarus lacustris"
"Acanthocephalus lucii","Gammarus kischineffensis","Gammarus kischineffensis"
"Acanthocephalus lucii","Gasterosteus aculeatus","Gasterosteus aculeatus"
"Acanthocephalus lucii","Gobio gobio","Gobio gobio"
"Acanthocephalus lucii","Gymnocephalus cernuus","Gymnocephalus cernua"
"Acanthocephalus lucii","Gymnocephalus schraetser","Gymnocephalus schraetser"
"Acanthocephalus lucii","Ictalurus nebulosus","Ameiurus nebulosus"
"Acanthocephalus lucii","Lepomis gibbosus","Lepomis gibbosus"
"Acanthocephalus lucii","Leuciscus cephalus","Squalius cephalus"
"Acanthocephalus lucii","Leuciscus idus","Leuciscus idus"
"Acanthocephalus lucii","Leuciscus leuciscus","Leuciscus leuciscus"
"Acanthocephalus lucii","Lota lota","Lota lota"
"Acanthocephalus lucii","Lucioperca lucioperca","Sander lucioperca"
"Acanthocephalus lucii","Nemachilus barbatulus","Barbatula barbatula"
"Acanthocephalus lucii","Neogobius fluviatilis","Neogobius fluviatilis"
"Acanthocephalus lucii","Neogobius melanostomus","Neogobius melanostomus"
"Acanthocephalus lucii","Oncorhynchus mykiss","Oncorhynchus mykiss"
"Acanthocephalus lucii","Osmerus eperlanus","Osmerus eperlanus"
"Acanthocephalus lucii","Pelecus cultratus","Pelecus cultratus"
"Acanthocephalus lucii","Perca fluviatilis","Perca fluviatilis"
"Acanthocephalus lucii","Phoxinus percnurus","Rhynchocypris percnurus"
"Acanthocephalus lucii","Phoxinus phoxinus","Phoxinus phoxinus"
"Acanthocephalus lucii","Platichthys flesus","Platichthys flesus"
"Acanthocephalus lucii","Pomatoschistus marmoratus","Pomatoschistus marmoratus"
"Acanthocephalus lucii","Proterorhinus marmoratus","Proterorhinus marmoratus"
"Acanthocephalus lucii","Rutilus rutilus","Rutilus rutilus"
"Acanthocephalus lucii","Salmo trutta","Salmo trutta"
