"Parasite.species","hosts_missing_tax_lcdb","hosts_missing_tax_comb","hsi_lcdb","var.hsi_lcdb","hsi_comb","var.hsi_comb"
"Capillaria gracilis",0,0,4.60714285714286,2.02423469387755,3.80645161290323,1.1539368713146
"Capillaria oesophagealis",0,0,4.33333333333333,5.55555555555555,4.33333333333333,5.55555555555555
"Capillaria phasianina",0,1,4.66666666666667,3.55555555555556,3.09090909090909,2.23415977961432
"Capillaria pterophylli",0,0,2,0,2.97777777777778,1.13283950617284
"Capillospirura pseudoargumentosa",0,0,4.33333333333333,5.55555555555555,4.33333333333333,5.55555555555555
"Caryophyllaeus laticeps",0,0,3.33333333333333,3.55555555555556,3.15921568627451,2.41935624759708
"Catenotaenia pusilla",0,1,3.19444444444444,2.71219135802469,2.71861471861472,1.53554093813834
"Centrorhynchus aluconis",0,0,4.36363636363636,1.07988980716253,4.28070175438596,1.10249307479224
"Centrorhynchus milvus",0,0,5.2,0.56,5.14285714285714,0.503401360544218
"Cephalochlamys namaquensis",0,0,4.33333333333333,5.55555555555555,4.85714285714286,3.26530612244898
"Chabertia ovina",0,0,2,0,2.53216374269006,0.365924557983653
"Cheilospirura spinosa",0,0,4.5,3.65,4.14285714285714,3.36054421768707
"Choanotaenia infundibulum",1,1,4.46323529411765,2.11629541522491,4.51269841269841,2.43396573444192
"Cittotaenia citelli",0,0,4.83333333333333,2.80555555555556,4.83333333333333,2.80555555555556
"Cittotaenia denticulata",0,0,4.2,2.16,4.53333333333333,2.51555555555556
"Cladotaenia circi",0,0,4,1.35714285714286,4.04329004329004,1.39206536609134
"Cladotaenia globifera",0,2,3.90927419354839,1.48168818288241,4.02222222222222,1.47896745230079
"Clavinema fujimotoi",0,0,3.6,3.84,3.6,3.84
"Clistobothrium carcharodoni",0,0,3.02777777777778,1.30478395061728,3.02777777777778,1.30478395061728
"Clistobothrium cf. montaukensis",0,0,4.66666666666667,3.55555555555556,4.66666666666667,3.55555555555556
"Cloacotaenia megalops",0,5,2.81318681318681,3.80026566839754,2.74004024144869,2.31873883137861
"Comephoronema oschmarini",0,0,5,2,5,2
"Confluaria furcifera",0,0,3.88888888888889,4.65432098765432,3.77777777777778,4.48395061728395
"Confluaria podicipina",0,0,3.57142857142857,5.48299319727891,3.53030303030303,3.64302112029385
"Contracaecum microcephalum",0,0,4.73333333333333,2.06222222222222,4.00489795918367,1.88079233652645
"Contracaecum micropapillatum",0,0,4.7965367965368,2.52570229193606,4.94285714285714,1.90933973589436
"Contracaecum multipapillatum",0,0,4.30409356725146,1.49817037721008,4.25512820512821,1.23619165023011
"Contracaecum ogmorhini s.s.",0,0,3.72222222222222,2.75617283950617,3.67857142857143,2.64668367346939
"Contracaecum osculatum [A-C]",0,0,4.64444444444444,1.40981213097155,4.75,1.26067073170732
"Contracaecum osculatum [D, E]",0,0,2.74736842105263,1.12565096952909,2.74264705882353,1.22053416955017
"Contracaecum osculatum baicalensis",0,0,4.83333333333333,3.13888888888889,4.83333333333333,3.13888888888889
"Contracaecum pelagicum",0,0,4.1,1.29,3.86666666666667,1.44888888888889
"Contracaecum rudolphii",2,2,4.94773519163763,1.48275038748396,4.81052631578947,1.20339796860572
"Cooperia curticei",0,0,2,0,2.50833333333333,0.583263888888889
"Cooperia fuelleborni",0,0,2,0,1.96363636363636,0.0350413223140496
"Cooperia oncophora",0,0,1,NA,2.67619047619048,0.333242630385488
"Cooperia pectinata",0,0,2,0,2.5047619047619,0.278548752834467
"Cooperia punctata",0,0,2,0,2.50197628458498,0.297426924338765
"Corallobothrium fimbriatum",0,0,4.35714285714286,3.65816326530612,3.54945054945055,3.96184035744475
"Corallobothrium parafimbriatum",0,0,3.33333333333333,3.55555555555556,3.85714285714286,4.21768707482993
"Corallotaenia minutia",0,0,3.26666666666667,3.79555555555556,3.26666666666667,3.79555555555556
"Coronacanthus integer",0,0,4.13333333333333,5.31555555555556,4.13333333333333,5.31555555555556
"Coronacanthus omissa",0,0,4.2,4.96,4,5.42857142857143
"Coronacanthus vassilevi",0,0,6,0,3.5,6.25
"Corynosoma australe",0,0,4.10714285714286,0.524234693877551,4.41176470588235,0.601878398418191
"Corynosoma bullosum",0,2,4.07575757575758,2.4639577594123,3.73979591836735,1.74862036651395
"Corynosoma cetaceum",0,0,4.13888888888889,1.17515432098765,4.18181818181818,1.05785123966942
"Corynosoma hamanni",0,1,4.46666666666667,2.91555555555556,4.13621262458472,2.23726007439211
"Corynosoma magdaleni",0,0,4.61904761904762,1.85487528344671,4.53333333333333,1.53777777777778
"Corynosoma pseudohamanni",0,2,4,3.28571428571429,3.91891891891892,1.83553112144862
"Corynosoma semerme",0,0,4.53030303030303,1.27938475665748,4.43030303030303,0.786556473829201
"Corynosoma strumosum",0,0,4.32051282051282,1.85880999342538,4.42058823529412,0.572265200197726
"Cosmocephalus obvelatus",0,1,4.85,1.79416666666667,4.45582226762002,1.01515762316095
"Crenosoma mephitidis",1,1,4.84761904761905,2.01487528344671,4.84761904761905,2.01487528344671
"Crenosoma petrowi",0,0,3.55555555555556,3.1358024691358,3.09090909090909,3.14325068870523
"Crenosoma striatum",1,2,3.57309941520468,1.28559214801135,4.08658008658009,2.18298007908398
"Crenosoma vulpis",1,1,4.2578947368421,3.00191135734072,4.43290043290043,2.71303011562752
"Ctenotaenia marmotae",0,0,4.33333333333333,5.55555555555555,4.2,4.96
"Cucullanus chabaudi",0,0,1,NA,1,NA
"Cucullanus cirratus",0,2,4.13333333333333,2.63222222222222,4.01136363636364,2.12865874655647
"Cucullanus heterochrous",0,0,4.46969696969697,3.03696051423324,3.95172413793103,2.26663495838288
"Cyathocephalus truncatus",0,2,4.20833333333333,4.06493055555556,3.97615979381443,2.59973233185425
"Cyathostoma bronchialis",0,0,3.42307692307692,4.24408284023669,3.825,4.21104166666667
"Cyathostoma lari",1,1,4.36263736263736,2.03332930805458,4.36029411764706,1.61283520761246
"Cyathostomum catinatum",0,0,1,0,1,0
"Cyclodontostomum purvisi",0,0,2,0,2.1437908496732,0.711350335341108
"Cyclustera capito",0,0,3.42857142857143,1.38775510204082,3.41666666666667,1.1875
"Cyclustera ibisae",0,1,3.53333333333333,1.44888888888889,3.80769230769231,1.00147928994083
"Cyclustera ralli",0,0,5,0,3.76190476190476,1.13378684807256
"Cylicocyclus nassatus",0,0,1,0,1,0
"Cylicostephanus longibursatus",0,0,1,0,1,0
"Cyrnea colini",0,0,4.4,3.30666666666667,3.85714285714286,3.83673469387755
"Cyrnea eurycerca",0,1,6,0,2.5,2.58333333333333
"Cyrnea mansioni",0,0,5,2,5,2
"Cystidicola cristivomeri",0,0,2.9,6.49,3.5,6.25
"Cystidicola farionis",0,0,3.4,3.91368421052632,3.63207547169811,2.77246898704713
"Cystidicoloides tenuissima",1,1,4.43939393939394,3.0342056932966,4.2494623655914,2.39798358191698
"Cystocaulus ocreatus",1,1,3.19088319088319,1.57325021712486,3.18393234672304,1.98731054087758
"Cystoopsis acipenseri",0,0,4.2,4.96,4.2,4.96
"Cystoopsis atractostei",0,0,1,NA,1,NA
"Davainea proglottina",1,2,3.22727272727273,1.99380165289256,4.45263157894737,2.8793351800554
"Davainea tetraoensis",0,0,4.7,2.61,4.6,3.04
"Dentitruncus truttae",0,0,4.2,5.16,4.66666666666667,3.55555555555556
"Desportesius brevicaudatus",0,0,4.53333333333333,1.58222222222222,4.40909090909091,1.7568870523416
"Desportesius invaginatus",1,1,4.76190476190476,1.89569160997732,3.81699346405229,2.2802340979965
"Dicheilonema rheae",0,0,2.83333333333333,2.06196581196581,3.82213438735178,3.15018200565545
"Dichelyne bullocki",0,0,1,NA,1,NA
"Dichelyne cotylophora",0,0,3.33333333333333,0.888888888888889,3.66666666666667,0.555555555555556
"Dichelyne minutus",0,0,4.66666666666667,2.22222222222222,3.59090909090909,2.09022038567493
"Dichoanotaenia gallinagilis",0,0,6,0,3.83333333333333,4.80555555555556
"Dicranotaenia coronula",0,2,4.76,3.16701538461538,4.63095238095238,3.22689909297052
"Dictyocaulus arnfieldi",0,0,1,0,1,0
"Dictyocaulus eckerti",0,0,2.5,0.25,2.21212121212121,0.348943985307622
"Dictyocaulus filaria",0,0,2,0,2.98333333333333,0.749722222222222
"Dictyocaulus viviparus",0,0,3,0,2.46461538461538,0.304132544378698
"Didelphostrongylus hayesi",0,0,4.5,4.58333333333333,4.5,4.58333333333333
"Dilepis undula",0,1,3.92156862745098,2.5036524413687,4.1277213352685,1.62374531566962
"Dinobothrium sp.",0,0,6,0,4.76190476190476,2.75283446712018
"Dioctophyma renale",0,0,4.47956989247312,1.17861486877096,4.49195402298851,1.14188928524244
"Dioecotaenia cancellata",0,0,5.33333333333333,0.555555555555556,5.33333333333333,0.555555555555556
"Diorchis asiatica",0,0,4.14285714285714,4.90816326530612,4.02222222222222,4.6883950617284
"Diorchis brevis",0,0,6,0,4.53333333333333,3.13777777777778
"Diorchis bulbodes",0,0,3.3,5.01,2.64285714285714,3.94387755102041
"Diorchis danutae",0,1,4.22222222222222,4.11728395061728,4.72727272727273,2.89531680440771
"Diorchis inflata",0,3,5.23076923076923,2.12623274161736,4.82020095187731,2.70907896543537
"Diorchis nyrocae",0,0,4.83660130718954,3.15630740313555,4.66153846153846,3.51621301775148
"Diorchis parvogenitalis",0,2,3.06666666666667,4.46222222222222,3.45789473684211,4.35349030470914
"Diorchis ransomi",0,1,5.12380952380952,2.14657596371882,4.9234693877551,2.14550360960711
"Diphyllobothrium dendriticum",0,0,4.31578947368421,3.18903945496743,4.63665053650326,1.65106153514436
"Diphyllobothrium ditremum",0,1,3.4640522875817,2.2879234482464,4.06168359941945,1.7501864252898
"Diphyllobothrium latum",0,0,4.73103448275862,2.4586920332937,4.88410786001147,1.50005151332319
"Diphyllobothrium nihonkaiense",0,0,3.89285714285714,4.09566326530612,4.12121212121212,2.43985307621671
"Diplocotyle olrikii",1,3,4.58620689655172,2.34601664684899,4.26932923707117,1.87830661612932
"Diplogonoporus balaenopterae",0,0,4.86666666666667,1.40444444444444,4.46153846153846,2.19723865877712
"Diploposthe laevis",0,2,4.97142857142857,3.17061224489796,4.8395390070922,2.84570617046426
"Diploposthe skrjabini",0,1,4.28571428571429,2.87074829931973,4.63888888888889,3.1195987654321
"Diplopylidium acanthotetra",0,0,3.59420289855072,1.25561856752783,3.71572580645161,1.32443011836629
"Diplopylidium nölleri",0,0,3.46666666666667,1.39888888888889,3.46666666666667,1.39888888888889
"Diplotriaena agelaius",0,0,6,0,3.27777777777778,2.36728395061728
"Diplotriaena bargusinica",0,1,3.83333333333333,4.80555555555556,4.15555555555556,3.19802469135802
"Diplotriaena sokolowi",0,0,6,0,6,0
"Diplotriaena tricuspis",0,2,4.66666666666667,3.55555555555556,3.32034632034632,1.9233522610146
"Diplotriaena tridens",0,0,6,0,5,2
"Dipylidium caninum",2,2,4.33333333333333,3.82222222222222,3.97835497835498,2.77442326792976
"Dispharynx nasuta",0,2,4.75,2.25892857142857,4.09903026741111,1.09950831615705
"Dollfusentis chandleri",0,1,4.75757575757576,1.51698806244261,4.17424242424242,1.14009412304867
"Dracunculus doi",0,0,5,2,5,2
"Dracunculus globocephalus",0,0,6,0,6,0
"Dracunculus insignis",0,0,4.67272727272727,1.8201652892562,4.67028985507246,2.17752310438983
