i.vec,sp.query,q.rank,ncbi.ids,class,cohort,family,genus,infraclass,infraorder,kingdom,order,phylum,species,species group,subclass,subfamily,subgenus,subkingdom,suborder,subphylum,subtribe,superclass,superfamily,superkingdom,superorder,tribe
164,Exosphaeroma planulum,genus,337069,Malacostraca,NA,Sphaeromatidae,Exosphaeroma,NA,NA,Metazoa,Isopoda,Arthropoda,NA,NA,Eumalacostraca,NA,NA,NA,NA,Crustacea,NA,Multicrustacea,NA,Eukaryota,Peracarida,NA
170,Gadus  morhua,genus,8048,Actinopteri,Euteleosteomorpha,Gadidae,Gadus,Teleostei,NA,Metazoa,Gadiformes,Chordata,NA,NA,Neopterygii,NA,NA,NA,Gadoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
172,Galactosomum sp.,genus,232669,Trematoda,NA,Heterophyidae,Galactosomum,NA,NA,Metazoa,Opisthorchiida,Platyhelminthes,NA,NA,Digenea,NA,NA,NA,Opisthorchiata,NA,NA,NA,NA,Eukaryota,NA,NA
182,Geminosyllis sp.,genus,418321,Polychaeta,NA,Syllidae,Geminosyllis,Aciculata,NA,Metazoa,Phyllodocida,Annelida,NA,NA,Palpata,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA
185,Glaucus sp.,genus,1154736,Gastropoda,NA,Glaucidae,Glaucus,NA,NA,Metazoa,Nudibranchia,Mollusca,NA,NA,Heterobranchia,NA,NA,NA,Cladobranchia,NA,NA,NA,Aeolidioidea,Eukaryota,Nudipleura,NA
189,Gymnophallus choledochus,species,1094378,Trematoda,NA,Gymnophallidae,Gymnophallus,NA,NA,Metazoa,Digenea,Platyhelminthes,Gymnophallus choledochus,NA,Digenea,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA
190,Gymnophallus gibberosus,genus,431612,Trematoda,NA,Gymnophallidae,Gymnophallus,NA,NA,Metazoa,Digenea,Platyhelminthes,NA,NA,Digenea,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA
191,Gymnophallus sp. ,genus,431612,Trematoda,NA,Gymnophallidae,Gymnophallus,NA,NA,Metazoa,Digenea,Platyhelminthes,NA,NA,Digenea,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA
192,Gynaecotyla sp.,genus,340111,Trematoda,NA,Microphallidae,Gynaecotyla,NA,NA,Metazoa,Plagiorchiida,Platyhelminthes,NA,NA,Digenea,NA,NA,NA,Xiphidiata,NA,NA,NA,Microphalloidea,Eukaryota,NA,NA
193,Haematopus  sp. 1,genus,32635,Aves,NA,Haematopodidae,Haematopus,Neognathae,NA,Metazoa,Charadriiformes,Chordata,NA,NA,NA,NA,NA,NA,NA,Craniata,NA,Sarcopterygii,NA,Eukaryota,NA,NA
194,Haematopus  sp. 2,genus,32635,Aves,NA,Haematopodidae,Haematopus,Neognathae,NA,Metazoa,Charadriiformes,Chordata,NA,NA,NA,NA,NA,NA,NA,Craniata,NA,Sarcopterygii,NA,Eukaryota,NA,NA
195,Halicarcinus whitei,genus,578596,Malacostraca,NA,Hymenosomatidae,Halicarcinus,NA,Brachyura,Metazoa,Decapoda,Arthropoda,NA,NA,Eumalacostraca,NA,NA,NA,Pleocyemata,Crustacea,NA,Multicrustacea,Leucosioidea,Eukaryota,Eucarida,NA
196,Halipegus ,genus,1964308,Trematoda,NA,Derogenidae,Halipegus,NA,NA,Metazoa,Azygiida,Platyhelminthes,NA,NA,Digenea,NA,NA,NA,NA,NA,NA,NA,Hemiuroidea,Eukaryota,NA,NA
197,Haliplus ,genus,107852,Insecta,Holometabola,Haliplidae,Haliplus,Neoptera,NA,Metazoa,Coleoptera,Arthropoda,NA,NA,Pterygota,NA,NA,NA,Adephaga,Hexapoda,NA,NA,Haliploidea,Eukaryota,NA,NA
203,Hemiurus communis,species,73061,Trematoda,NA,Hemiuridae,Hemiurus,NA,NA,Metazoa,Azygiida,Platyhelminthes,Hemiurus communis,NA,Digenea,NA,NA,NA,NA,NA,NA,NA,Hemiuroidea,Eukaryota,NA,NA
